Q8IYF3,Q9P218
P36406,Q96HA1
Q96DC7,Q9UMX0
Q8TAP6,Q9Y467
Q9GZM8,Q9NS73
O00444,P31947
Q8N6Y0,Q96GM5
O14879,P09913
P60002,Q49AR2
P56545,Q9Y5P3
Q13137,Q9Y4Z0
P26368,Q9UHX1
P14868,Q13155
Q96LJ7,Q99750
Q9NRF8,Q9NZD8
Q969X0,Q969X0
O60941,Q12933
Q15102,Q8TBB1
P53816,Q9UMX0
Q6UY14,Q8NEC5
Q8N6V9,Q8NEF3
Q9H190,Q9NP64
P43364,Q8N490
O00746,Q15645
O60547,O60547
Q8N6Y0,Q9BT78
P52306,Q9NS73
O60573,Q9NRA8
Q92624,Q96S15
Q96LK0,Q9UNT1
P08670,P35900
P54725,Q13501
P60896,Q5JVF3
P05161,Q9UMW8
O43298,Q8TAP4
O60238,O60238
P19012,Q9P2K3
O75558,P60880
Q9UBY9,Q9UJY1
P49247,Q96HA8
P19012,P35900
P47897,Q12933
P09493,Q9BQD3
Q14005,Q8N6Y0
Q96E35,Q9UJ83
Q9BRK4,Q9Y2I6
Q99750,Q9BR84
P49247,P49247
P60228,Q9HC44
O95751,Q9NVN8
Q12933,Q9NRN7
P49639,Q9UKJ5
P08670,P14136
Q16630,Q9H6L4
Q8TES7,Q9NWT6
Q9UI36,Q9UJ70
P27448,P31947
Q8IY31,Q9BQD3
P13994,P17028
O14641,Q96CG3
Q9BU76,Q9NVV9
P60520,Q13137
P48378,Q8HWS3
P12277,Q96DX5
Q96GG9,Q9HCM9
Q96A72,Q9NP66
P20340,Q92871
Q86YM7,Q9P2A4
P49910,Q9NWS9
Q15102,Q15102
O94972,Q13895
O75909,Q93062
Q12933,Q9BT49
O14964,Q13287
P25786,P51946
O43809,Q8N684
O75084,Q9UMX0
P0CG47,Q15038
Q93062,Q9P0T4
O95073,Q9UJX2
Q96QG7,Q96QG7
P43364,Q9Y6M9
P46379,Q53G59
O15162,Q8WWR8
Q53G59,Q8TBB1
Q13257,Q9Y3Q8
Q13501,Q9H0R8
P49407,Q14749
O14777,Q9Y3C0
Q9H8W4,Q9Y4P9
P62854,Q969E8
P62166,Q86UW9
O95198,Q53G59
Q9H0L4,Q9UMX0
Q99961,Q9H788
O75800,Q9Y3Q8
Q06547,Q8TAP4
Q9BW83,Q9Y547
P61964,Q9NS73
O75177,Q8HWS3
Q9Y5P4,Q9Y5P4
Q86SE5,Q86SE5
P02538,Q15834
Q8IUQ4,Q9UHB7
Q93062,Q9UJX2
Q8TAU3,Q9BUH8
Q86UW9,Q8HWS3
Q15038,Q9H0E2
Q14558,Q14558
Q96SK3,Q99750
Q8NEU8,Q9UL26
Q12933,Q86TN4
P32242,Q99750
O43889,P50402
Q59EK9,Q96CW1
P62899,Q01844
P01116,P07910
Q9BTE1,Q9Y2I6
O94875,P62258
Q01844,Q15906
Q13526,Q99750
Q9BV20,Q9BV20
Q12933,Q9UKG1
Q15645,Q8TBB1
A9UHW6,O14964
Q12933,Q9H8Y8
P07910,P07910
P60520,Q9BXK5
Q8WXK3,Q9NWT6
Q9UJ04,Q9Y2I6
O75604,P19012
Q8TES7,Q96CN9
P51668,Q9BV68
P45984,Q15427
O60763,Q6P1W5
Q9BRT9,Q9Y248
P19012,Q8TAB5
Q9H0I2,Q9NR12
P08670,Q6ZU52
Q9BWG4,Q9UBH0
Q12933,Q9Y4K3
P27482,Q9H0B3
O14978,Q9NWS9
P10276,P48443
P31947,Q96HA8
Q8NFF5,Q8NFF5
O43617,Q9UL33
O94818,P56545
Q14134,Q9BRK4
Q53G59,Q92997
P51116,Q9UIC8
Q13418,Q9NVD7
P30304,P41227
Q969J3,Q9UHX1
P43364,P58340
P43364,Q68CQ4
Q13137,Q96ME1
Q96H20,Q9BRG1
P49902,Q9Y5B8
P62263,Q16594
O95751,P15622
O76003,Q9BQ66
Q15561,Q9GZV5
P28799,Q96AQ9
Q5D1E8,Q92844
O60568,Q96KQ7
P21673,Q9BSH4
P63010,Q5SW96
O43639,Q9NYB9
O95197,Q9NQC3
Q15038,Q8WV99
Q9HCM9,Q9Y2X8
Q8TBB1,Q9P209
P38919,Q6PII3
Q04695,Q15834
Q9NVV9,Q9NVV9
Q01844,Q9UEE9
Q96G04,Q9NRG1
P06753,Q9BQD3
P15622,Q96ED9
O43765,O95967
Q15025,Q96M61
Q8TBN0,Q96QF0
Q8IYI6,Q9UL45
Q9BSW7,Q9BY43
P25791,Q9UPY8
O15160,P15531
P08727,Q8IYI6
O15372,Q9P2A4
Q15654,Q8NEC5
O95751,Q5VWN6
Q7Z6G3,Q8IYF3
Q15645,Q9NRQ2
P49366,Q9GZV4
Q13228,Q15645
O43708,O43708
P49910,Q01844
Q9H9D4,Q9NVV9
P61457,Q8TBB1
Q14141,Q15019
Q9UMX0,Q9UMX0
Q96C28,Q99750
P07910,Q86SE5
Q9NWS0,Q9Y3Q8
O43639,Q15654
P45973,Q9BWN1
O43186,Q8TC57
Q96D15,Q9UMX1
O14964,O95751
Q15834,Q16512
Q9BT92,Q9Y5B8
P23297,P23297
P00492,Q96HA8
P32969,P49366
Q9UJ83,Q9UJ83
Q8NDP4,Q99750
P02538,P19012
Q9BQD3,Q9H8S9
Q8NF64,Q9Y467
Q13155,Q13643
Q15154,Q9Y3C0
P78337,Q93062
P17482,Q99750
Q8IYF3,Q93045
O43765,Q13232
P61289,Q9BXC9
Q05516,Q9NP79
P60709,P63261
Q96CW1,Q9UHP6
O43707,Q9NPC6
O14639,O95751
